year;location;sex;baby;child;adult;senior
1983;Europe;Female;24155;76550;210503;54099
1983;Europe;Male;25274;79926;200843;30720
1950;Latin America and the Caribbean;Female;13417;28799;39017;3187
1950;Latin America and the Caribbean;Male;13743;29261;38659;2741
1951;Latin America and the Caribbean;Female;13990;29466;39928;3274
1951;Latin America and the Caribbean;Male;14324;29956;39531;2817
1952;Latin America and the Caribbean;Female;14560;30208;40851;3360
1952;Latin America and the Caribbean;Male;14903;30723;40418;2891
1953;Latin America and the Caribbean;Female;15106;31022;41806;3453
1953;Latin America and the Caribbean;Male;15459;31560;41337;2965
1954;Latin America and the Caribbean;Female;15617;31892;42811;3545
1954;Latin America and the Caribbean;Male;15980;32453;42311;3038
1955;Latin America and the Caribbean;Female;16109;32793;43874;3639
1955;Latin America and the Caribbean;Male;16486;33375;43343;3106
1956;Latin America and the Caribbean;Female;16696;33749;44827;3763
1956;Latin America and the Caribbean;Male;17094;34342;44263;3215
1957;Latin America and the Caribbean;Female;17155;34818;45870;3887
1957;Latin America and the Caribbean;Male;17568;35428;45275;3319
1958;Latin America and the Caribbean;Female;17544;35977;46970;4014
1958;Latin America and the Caribbean;Male;17970;36609;46345;3427
1959;Latin America and the Caribbean;Female;17934;37196;48095;4146
1959;Latin America and the Caribbean;Male;18372;37848;47444;3531
1960;Latin America and the Caribbean;Female;18382;38436;49233;4284
1960;Latin America and the Caribbean;Male;18833;39108;48552;3640
1961;Latin America and the Caribbean;Female;18830;39760;50356;4453
1961;Latin America and the Caribbean;Male;19300;40439;49648;3783
1962;Latin America and the Caribbean;Female;19337;41104;51490;4624
1962;Latin America and the Caribbean;Male;19822;41792;50755;3924
1963;Latin America and the Caribbean;Female;19878;42458;52653;4799
1963;Latin America and the Caribbean;Male;20376;43158;51896;4063
1964;Latin America and the Caribbean;Female;20396;43824;53886;4974
1964;Latin America and the Caribbean;Male;20906;44538;53105;4202
1965;Latin America and the Caribbean;Female;20856;45199;55203;5152
1965;Latin America and the Caribbean;Male;21380;45931;54397;4340
1966;Latin America and the Caribbean;Female;21384;46603;56449;5338
1966;Latin America and the Caribbean;Male;21924;47342;55611;4503
1967;Latin America and the Caribbean;Female;21748;48090;57810;5530
1967;Latin America and the Caribbean;Male;22303;48843;56938;4666
1968;Latin America and the Caribbean;Female;21997;49622;59272;5723
1968;Latin America and the Caribbean;Male;22564;50396;58364;4828
1969;Latin America and the Caribbean;Female;22213;51139;60823;5921
1969;Latin America and the Caribbean;Male;22791;51934;59876;4989
1970;Latin America and the Caribbean;Female;22460;52581;62456;6123
1970;Latin America and the Caribbean;Male;23049;53393;61467;5146
1971;Latin America and the Caribbean;Female;22695;54004;64147;6347
1971;Latin America and the Caribbean;Male;23307;54814;63091;5334
1972;Latin America and the Caribbean;Female;22945;55365;65929;6566
1972;Latin America and the Caribbean;Male;23574;56175;64802;5514
1973;Latin America and the Caribbean;Female;23218;56658;67795;6793
1973;Latin America and the Caribbean;Male;23859;57475;66594;5687
1974;Latin America and the Caribbean;Female;23506;57897;69734;7024
1974;Latin America and the Caribbean;Male;24162;58730;68464;5863
1975;Latin America and the Caribbean;Female;23810;59090;71739;7265
1975;Latin America and the Caribbean;Male;24487;59948;70401;6037
1976;Latin America and the Caribbean;Female;24158;60215;73778;7534
1976;Latin America and the Caribbean;Male;24866;61118;72342;6259
1977;Latin America and the Caribbean;Female;24514;61323;75862;7812
1977;Latin America and the Caribbean;Male;25253;62285;74333;6479
1978;Latin America and the Caribbean;Female;24874;62410;78009;8093
1978;Latin America and the Caribbean;Male;25641;63441;76384;6694
1979;Latin America and the Caribbean;Female;25231;63470;80257;8374
1979;Latin America and the Caribbean;Male;26020;64568;78525;6902
1980;Latin America and the Caribbean;Female;25584;64492;82624;8651
1980;Latin America and the Caribbean;Male;26389;65643;80770;7097
1981;Latin America and the Caribbean;Female;25999;65490;85038;8932
1981;Latin America and the Caribbean;Male;26840;66619;83043;7314
1982;Latin America and the Caribbean;Female;26324;66506;87598;9209
1982;Latin America and the Caribbean;Male;27189;67611;85443;7517
1983;Latin America and the Caribbean;Female;26578;67530;90266;9489
1983;Latin America and the Caribbean;Male;27462;68621;87927;7717
1950;Northern America;Female;9230;19718;49948;7477
1950;Northern America;Male;9652;20398;49563;6618
1951;Northern America;Female;9520;20137;50296;7727
1951;Northern America;Male;9946;20792;49795;6805
1952;Northern America;Female;9716;20711;50727;7984
1952;Northern America;Male;10144;21372;50130;6992
1953;Northern America;Female;9911;21396;51167;8248
1953;Northern America;Male;10345;22099;50471;7172
1954;Northern America;Female;10137;22161;51590;8518
1954;Northern America;Male;10579;22931;50789;7346
1955;Northern America;Female;10388;22972;51998;8800
1955;Northern America;Male;10839;23828;51095;7512
1956;Northern America;Female;10543;23844;52480;9081
1956;Northern America;Male;11005;24744;51487;7706
1957;Northern America;Female;10758;24708;52941;9353
1957;Northern America;Male;11229;25646;51877;7875
1958;Northern America;Female;10979;25555;53411;9619
1958;Northern America;Male;11455;26538;52290;8023
1959;Northern America;Female;11152;26387;53924;9882
1959;Northern America;Male;11630;27418;52764;8148
1960;Northern America;Female;11240;27208;54482;10145
1960;Northern America;Male;11721;28291;53307;8254
1961;Northern America;Female;11348;28091;54880;10429
1961;Northern America;Male;11847;29187;53702;8402
1962;Northern America;Female;11320;28966;55358;10711
1962;Northern America;Male;11823;30088;54202;8527
1963;Northern America;Female;11183;29801;55915;10994
1963;Northern America;Male;11678;30971;54780;8639
1964;Northern America;Female;10988;30558;56538;11284
1964;Northern America;Male;11469;31791;55414;8743
1965;Northern America;Female;10776;31204;57217;11581
1965;Northern America;Male;11244;32494;56097;8843
1966;Northern America;Female;10508;31790;57939;11889
1966;Northern America;Male;10980;33023;56831;9003
1967;Northern America;Female;10239;32249;58717;12207
1967;Northern America;Male;10701;33459;57600;9155
1968;Northern America;Female;9984;32583;59546;12537
1968;Northern America;Male;10432;33832;58368;9300
1969;Northern America;Female;9750;32813;60415;12875
1969;Northern America;Male;10188;34154;59155;9436
1970;Northern America;Female;9535;32965;61320;13218
1970;Northern America;Male;9969;34425;59999;9560
1971;Northern America;Female;9248;33088;62306;13570
1971;Northern America;Male;9648;34573;61023;9758
1972;Northern America;Female;9091;33070;63289;13921
1972;Northern America;Male;9485;34539;62122;9931
1973;Northern America;Female;9022;32925;64299;14288
1973;Northern America;Male;9424;34360;63291;10093
1974;Northern America;Female;8984;32677;65380;14673
1974;Northern America;Male;9399;34072;64535;10252
1975;Northern America;Female;8938;32355;66554;15068
1975;Northern America;Male;9365;33708;65855;10407
1976;Northern America;Female;8974;32000;67740;15438
1976;Northern America;Male;9473;33497;66758;10672
1977;Northern America;Female;8956;31619;69033;15816
1977;Northern America;Male;9493;33281;67740;10943
1978;Northern America;Female;8907;31213;70384;16207
1978;Northern America;Male;9459;33065;68773;11229
1979;Northern America;Female;8877;30777;71732;16611
1979;Northern America;Male;9433;32828;69834;11519
1980;Northern America;Female;8905;30302;73037;17022
1980;Northern America;Male;9467;32545;70921;11806
1981;Northern America;Female;8996;29890;74243;17387
1981;Northern America;Male;9577;32060;72207;12057
1982;Northern America;Female;9116;29476;75417;17741
1982;Northern America;Male;9681;31591;73543;12283
1983;Northern America;Female;9265;29085;76539;18099
1983;Northern America;Male;9791;31164;74873;12501
1950;Oceania;Female;770;1609;3488;500
1950;Oceania;Male;810;1696;3656;445
1951;Oceania;Female;799;1655;3539;516
1951;Oceania;Male;839;1747;3714;456
1952;Oceania;Female;816;1712;3586;533
1952;Oceania;Male;856;1808;3766;467
1953;Oceania;Female;832;1776;3626;550
1953;Oceania;Male;871;1871;3816;475
1954;Oceania;Female;849;1843;3669;567
1954;Oceania;Male;888;1941;3866;480
1955;Oceania;Female;867;1913;3710;580
1955;Oceania;Male;908;2012;3920;482
1956;Oceania;Female;878;1991;3760;597
1956;Oceania;Male;920;2092;3970;494
1957;Oceania;Female;897;2065;3812;614
1957;Oceania;Male;940;2169;4022;502
1958;Oceania;Female;920;2138;3867;631
1958;Oceania;Male;965;2245;4080;506
1959;Oceania;Female;942;2209;3927;647
1959;Oceania;Male;989;2317;4144;511
1960;Oceania;Female;961;2279;3991;661
1960;Oceania;Male;1009;2390;4213;517
1961;Oceania;Female;984;2353;4049;677
1961;Oceania;Male;1035;2465;4267;522
1962;Oceania;Female;999;2427;4113;693
1962;Oceania;Male;1052;2544;4329;530
1963;Oceania;Female;1010;2503;4188;710
1963;Oceania;Male;1063;2623;4399;535
1964;Oceania;Female;1020;2576;4268;726
1964;Oceania;Male;1073;2700;4482;540
1965;Oceania;Female;1033;2647;4361;743
1965;Oceania;Male;1086;2773;4579;545
1966;Oceania;Female;1047;2724;4467;756
1966;Oceania;Male;1101;2850;4678;557
1967;Oceania;Female;1060;2797;4588;768
1967;Oceania;Male;1115;2926;4795;568
1968;Oceania;Female;1075;2864;4720;781
1968;Oceania;Male;1128;2994;4922;578
1969;Oceania;Female;1089;2925;4853;793
1969;Oceania;Male;1142;3058;5055;589
1970;Oceania;Female;1102;2981;4983;807
1970;Oceania;Male;1155;3116;5180;598
1971;Oceania;Female;1115;3031;5095;832
1971;Oceania;Male;1169;3170;5289;617
1972;Oceania;Female;1131;3076;5201;855
1972;Oceania;Male;1186;3219;5392;633
1973;Oceania;Female;1147;3115;5305;878
1973;Oceania;Male;1202;3263;5489;650
1974;Oceania;Female;1156;3149;5412;903
1974;Oceania;Male;1212;3301;5591;663
1975;Oceania;Female;1158;3176;5523;928
1975;Oceania;Male;1214;3331;5697;681
1976;Oceania;Female;1170;3204;5615;954
1976;Oceania;Male;1228;3357;5781;704
1977;Oceania;Female;1160;3235;5718;984
1977;Oceania;Male;1219;3388;5875;725
1978;Oceania;Female;1139;3271;5823;1015
1978;Oceania;Male;1196;3422;5977;748
1979;Oceania;Female;1119;3304;5936;1045
1979;Oceania;Male;1177;3457;6083;769
1980;Oceania;Female;1112;3334;6049;1073
1980;Oceania;Male;1171;3488;6194;788
1981;Oceania;Female;1098;3360;6183;1104
1981;Oceania;Male;1158;3514;6329;812
1982;Oceania;Female;1108;3375;6318;1132
1982;Oceania;Male;1169;3533;6467;833
1983;Oceania;Female;1134;3384;6452;1160
1983;Oceania;Male;1196;3545;6605;853
